pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
L 98-59 c,L 98-59,1,4,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,3.6906777,1.6e-06,-2.6e-06,0.0,0.0304,0.0011,-0.0012,0.0,1.385,0.095,-0.075,0.0,0.12356164,0.00847535,-0.00669106,0.0,2.22,0.26,-0.25,0.0,0.0069849,0.00081805,-0.00078659,0.0,Mass,0.103,0.045,-0.058,0.0,12.8,2.6,-2.1,0.0,553.0,27.0,-26.0,0.0,0,M3 V,3415.0,135.0,-135.0,0.0,0.303,0.026,-0.023,0.0,0.273,0.03,-0.03,0.0,-0.46,0.26,-0.26,0.0,[Fe/H],4.86,0.13,-0.13,0.0,08h18m07.89s,124.5328604,-68d18m52.08s,-68.3144658,10.6194,0.0032,-0.0032,11.685,0.017,-0.017,7.101,0.018,-0.018,10.5976,0.000765,-0.000765
L 98-59 d,L 98-59,1,4,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,7.4507245,8.1e-06,-4.6e-06,0.0,0.0486,0.0018,-0.0019,0.0,1.521,0.119,-0.098,0.0,0.13569476,0.01061649,-0.00874299,0.0,1.94,0.28,-0.28,0.0,0.00610392,0.00088098,-0.00088098,0.0,Mass,0.074,0.057,-0.046,0.0,5.01,1.02,-0.83,0.0,416.0,20.0,-20.0,0.0,0,M3 V,3415.0,135.0,-135.0,0.0,0.303,0.026,-0.023,0.0,0.273,0.03,-0.03,0.0,-0.46,0.26,-0.26,0.0,[Fe/H],4.86,0.13,-0.13,0.0,08h18m07.89s,124.5328604,-68d18m52.08s,-68.3144658,10.6194,0.0032,-0.0032,11.685,0.017,-0.017,7.101,0.018,-0.018,10.5976,0.000765,-0.000765
LP 791-18 c,LP 791-18,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,4.9899093,7.4e-06,-7.2e-06,0.0,0.02961,0.00035,-0.00036,0.0,2.438,0.096,-0.096,0.0,0.21750417,0.00856456,-0.00856456,0.0,7.1,0.7,-0.7,0.0,0.0223391,0.00220245,-0.00220245,0.0,Mass,8e-05,4e-05,-4e-05,0.0,2.637,0.066,-0.062,0.0,324.4,2.0,-1.9,0.0,0,M(6.1 +/- 0.7) V,2960.0,55.0,-55.0,0.0,0.182,0.007,-0.007,0.0,0.139,0.005,-0.005,0.0,-0.09,0.19,-0.19,0.0,[Fe/H],5.115,0.094,-0.094,0.0,11h02m45.72s,165.6904843,-16d24m23.20s,-16.4064445,26.4927,0.064,-0.0638,16.91,0.2,-0.2,10.644,0.023,-0.023,15.0715,0.001324,-0.001324
LP 791-18 d,LP 791-18,1,3,Transit,2023,Spitzer Space Telescope,0,2.753436,1.3e-05,-1.3e-05,0.0,0.01992,0.00024,-0.00024,0.0,1.032,0.044,-0.043,0.0,0.09206903,0.00392542,-0.00383621,0.0,0.9,0.5,-0.4,0.0,0.00283172,0.00157318,-0.00125854,0.0,Mass,0.0015,0.00014,-0.00014,0.0,5.83,0.15,-0.14,0.0,395.5,2.6,-2.3,0.0,1,M(6.1 +/- 0.7) V,2960.0,55.0,-55.0,0.0,0.182,0.007,-0.007,0.0,0.139,0.005,-0.005,0.0,-0.09,0.19,-0.19,0.0,[Fe/H],5.115,0.094,-0.094,0.0,11h02m45.72s,165.6904843,-16d24m23.20s,-16.4064445,26.4927,0.064,-0.0638,16.91,0.2,-0.2,10.644,0.023,-0.023,15.0715,0.001324,-0.001324
LTT 1445 A b,LTT 1445 A,3,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,5.35876,1e-05,-1e-05,0.0,0.022,0.003,-0.003,0.0,1.18,0.06,-0.06,0.0,0.10527273,0.00535285,-0.00535285,0.0,2.73,0.25,-0.23,0.0,0.00858954,0.00078659,-0.00072366,0.0,Mass,0.18,0.07,-0.06,0.0,5.4,1.2,-1.0,0.0,555.0,48.0,-48.0,0.0,0,M3.0,3340.0,150.0,-150.0,0.0,0.265,0.011,-0.011,0.0,0.257,0.014,-0.014,0.0,-0.34,0.09,-0.09,0.0,[Fe/H],4.97389,0.060229,-0.060229,0.0,03h01m50.99s,45.4624781,-16d35m40.18s,-16.5944956,6.86929,0.003805,-0.003805,10.59,0.046,-0.046,6.496,0.021,-0.021,10.0469,0.001234,-0.001234
LTT 3780 c,LTT 3780,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,12.252284,1.3e-05,-1.3e-05,0.0,0.0757,0.0018,-0.0018,0.0,2.39,0.1,-0.11,0.0,0.21322189,0.00892142,-0.00981356,0.0,8.04,0.5,-0.48,0.0,0.02529667,0.00157318,-0.00151025,0.0,Mass,0.024,0.032,-0.017,0.0,2.76,0.33,-0.31,0.0,359.0,10.0,-10.0,0.0,0,M3.5 V,3358.0,92.0,-92.0,0.0,0.38,0.012,-0.012,0.0,0.381,0.024,-0.034,0.0,0.06,0.11,-0.11,0.0,[Fe/H],4.85,0.11,-0.11,0.0,10h18m34.78s,154.6449033,-11d43m04.08s,-11.717801,21.9814,0.0403,-0.0402,13.14,0.035,-0.035,8.204001,0.021,-0.021,11.8465,0.000477,-0.000477
NGTS-8 b,NGTS-8,1,1,Transit,2019,Next-Generation Transit Survey (NGTS),0,2.4997,1e-05,-1e-05,0.0,0.035,0.001,-0.001,0.0,12.21781,0.33627,-0.33627,0.0,1.09,0.03,-0.03,0.0,295.5819,12.7132,-9.5349,0.0,0.93,0.04,-0.03,0.0,Mass,0.01,0.014,-0.01,0.0,503.0,33.0,-33.0,0.0,1345.0,19.0,-19.0,0.0,0,K0 V,5241.0,50.0,-50.0,0.0,0.98,0.02,-0.02,0.0,0.89,0.05,-0.04,0.0,0.24,0.09,-0.09,0.0,[Fe/H],4.41,0.03,-0.03,0.0,21h55m54.22s,328.9759206,-14d04m06.38s,-14.0684399,428.976,5.621,-5.481,13.69,0.103,-0.103,11.642,0.021,-0.021,13.4954,0.000304,-0.000304
NGTS-9 b,NGTS-9,1,1,Transit,2019,Next-Generation Transit Survey (NGTS),0,4.43527,2e-05,-2e-05,0.0,0.058,0.003,-0.002,0.0,11.99363,0.67254,-0.67254,0.0,1.07,0.06,-0.06,0.0,921.707,54.0311,-54.0311,0.0,2.9,0.17,-0.17,0.0,Mass,0.06,0.076,-0.052,0.0,729.0,80.0,-80.0,0.0,1448.0,36.0,-36.0,0.0,0,F8 V,6330.0,130.0,-130.0,0.0,1.38,0.04,-0.04,0.0,1.34,0.05,-0.05,0.0,0.31,0.15,-0.15,0.0,[Fe/H],4.37,0.2,-0.2,0.0,09h27m40.95s,141.9206435,-19d20m51.53s,-19.3476477,609.128,15.952,-15.171,12.868,0.057,-0.057,11.452,0.024,-0.024,12.6547,0.000237,-0.000237
TIC 139270665 b,TIC 139270665,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,23.624,0.03,-0.031,0.0,0.163,0.0027,-0.0033,0.0,7.22979255,0.26901554,-0.24659758,0.0,0.645,0.024,-0.022,0.0,147.1545524,14.62010672,-14.62010672,0.0,0.463,0.046,-0.046,0.0,Mass,0.105,0.053,-0.05,0.0,40.3,3.4,-2.7,0.0,703.0,14.0,-11.0,0.0,0,G2,5844.0,84.0,-82.0,0.0,1.016,0.035,-0.031,0.0,1.035,0.052,-0.062,0.0,0.156,0.057,-0.056,0.0,[Fe/H],4.439,0.032,-0.041,0.0,08h16m08.14s,124.0338967,+33d17m29.23s,33.2914532,189.875,1.615,-1.589,10.385,0.005,-0.005,8.946,0.019,-0.019,10.1805,0.000347,-0.000347
TIC 393818343 b,TIC 393818343,2,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,16.24921,0.0001,-0.00011,0.0,0.1291,0.0021,-0.0022,0.0,12.18416202,0.25780656,-0.23538859,0.0,1.087,0.023,-0.021,0.0,1379.375286,47.67426105,-47.67426105,0.0,4.34,0.15,-0.15,0.0,Mass,0.6058,0.0023,-0.0023,0.0,2.28,2.42,-2.28,0.0,805.5,9.6,-9.4,0.0,0,G0,5756.0,67.0,-66.0,0.0,1.086,0.02,-0.02,0.0,1.082,0.055,-0.056,0.0,0.318,0.058,-0.058,0.0,[Fe/H],4.402,0.013,-0.018,0.0,20h41m10.01s,310.2917002,+03d38m17.87s,3.6382967,93.7345,0.3527,-0.35,9.48,0.004,-0.004,8.052,0.033,-0.033,9.429071,0.000196,-0.000196
TOI-1062 b,TOI-1062,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,4.11296,0.0015,-0.0015,0.0,0.052,0.024,-0.025,0.0,2.265,0.096,-0.091,0.0,0.20207011,0.00856456,-0.00811849,0.0,10.15,0.81,-0.84,0.0,0.03193547,0.00254855,-0.00264294,0.0,Mass,0.177,0.067,-0.064,0.0,232.0,11.0,-10.0,0.0,1077.0,10.0,-9.0,0.0,0,G9 V,5328.0,56.0,-56.0,0.0,0.84,0.09,-0.09,0.0,0.94,0.02,-0.02,0.0,0.14,0.04,-0.04,0.0,[Fe/H],4.55,0.09,-0.09,0.0,02h32m29.03s,38.1209678,-78d01m25.26s,-78.0236828,82.1733,0.1635,-0.1629,10.249,0.005,-0.005,8.296,0.031,-0.031,10.0008,0.000374,-0.000374
TOI-1107 b,TOI-1107,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,4.0782387,2.4e-06,-2.5e-06,0.0,0.0561,0.0024,-0.0025,0.0,14.57167491,0.56044903,-0.56044903,0.0,1.3,0.05,-0.05,0.0,1064.725163,57.20911326,-57.20911326,0.0,3.35,0.18,-0.18,0.0,Mass,0.025,0.023,-0.016,0.0,532.0,92.0,-93.0,0.0,1728.0,27.0,-27.0,0.0,0,F6 V,6311.0,98.0,-98.0,0.0,1.81,0.06,-0.06,0.0,1.35,0.08,-0.08,0.0,-0.1,0.09,-0.09,0.0,[Fe/H],4.05,0.04,-0.04,0.0,10h22m25.89s,155.6078632,-82d13m07.93s,-82.2188693,281.314,2.031,-2.003,10.553,0.006,-0.006,9.205,0.019,-0.019,10.3745,0.000367,-0.000367
TOI-1130 b,TOI-1130,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,4.074554,1e-06,-0.000441,0.0,0.0453,0.0001,-0.0002,0.0,3.66,0.03,-0.04,0.0,0.32652389,0.00267643,-0.00356857,0.0,19.8,0.2,-0.3,0.0,0.06229777,0.00062927,-0.00094391,0.0,Mass,0.052162,0.000956,-2e-06,0.0,78.1,5.55,-5.55,0.0,825.0,23.0,-23.0,0.0,1,K6-K7,4360.0,108.0,-108.0,0.0,0.697,0.005,-0.004,0.0,0.745,0.007,-0.009,0.0,0.11,0.1,-0.1,0.0,[Fe/H],4.55,0.07,-0.07,0.0,19h05m30.24s,286.3760037,-41d26m15.50s,-41.4376399,58.2609,0.17,-0.1691,11.595,0.026,-0.026,8.351,0.033,-0.033,10.9028,0.000774,-0.000774
TOI-1130 c,TOI-1130,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,8.3501898,9.38e-05,-1e-06,0.0,0.0731,0.0002,-0.0003,0.0,13.0,0.4,-0.4,0.0,1.15978431,0.03568567,-0.03568567,0.0,336.0,2.0,-5.0,0.0,1.05717423,0.0062927,-0.01573176,0.0,Mass,0.0398,0.0009,-0.0002,0.0,30.0,2.13,-2.13,0.0,650.0,18.0,-18.0,0.0,1,K6-K7,4360.0,108.0,-108.0,0.0,0.697,0.005,-0.004,0.0,0.745,0.007,-0.009,0.0,0.11,0.1,-0.1,0.0,[Fe/H],4.55,0.07,-0.07,0.0,19h05m30.24s,286.3760037,-41d26m15.50s,-41.4376399,58.2609,0.17,-0.1691,11.595,0.026,-0.026,8.351,0.033,-0.033,10.9028,0.000774,-0.000774
TOI-1173 b,TOI-1173,2,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,7.06466,0.00028,-0.00029,0.0,0.0696,0.0014,-0.0014,0.0,9.19,0.18,-0.18,0.0,0.8198783,0.01605855,-0.01605855,0.0,27.4,1.7,-1.7,0.0,0.08621004,0.0053488,-0.0053488,0.0,Mass,0.023,0.025,-0.016,0.0,132.0,10.0,-10.0,0.0,868.0,11.0,-11.0,0.0,0,G9,5350.0,34.0,-34.0,0.0,0.934,0.011,-0.011,0.0,0.911,0.028,-0.03,0.0,0.139,0.065,-0.065,0.0,[Fe/H],4.45,0.02,-0.02,0.0,13h10m43.94s,197.6830975,+70d46m04.84s,70.7680117,132.353,0.461,-0.458,11.038,0.009,-0.009,9.134,0.015,-0.015,10.8041,0.000359,-0.000359
TOI-1231 b,TOI-1231,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,24.245586,6.4e-05,-6.6e-05,0.0,0.1288,0.0021,-0.0022,0.0,3.65,0.16,-0.15,0.0,0.32563175,0.01427427,-0.01338213,0.0,15.4,3.3,-3.3,0.0,0.04845382,0.01038296,-0.01038296,0.0,Mass,0.087,0.12,-0.061,0.0,1.93,0.1,-0.1,0.0,329.6,3.8,-3.7,0.0,0,M3 V,3553.0,51.0,-52.0,0.0,0.476,0.015,-0.014,0.0,0.485,0.024,-0.024,0.0,0.041,0.069,-0.063,0.0,[Fe/H],4.767,0.033,-0.035,0.0,10h26m59.34s,156.74726,-52d28m04.34s,-52.4678724,27.6227,0.0609,-0.0609,12.36,0.2,-0.2,8.069,0.026,-0.026,11.36,0.000922,-0.000922
TOI-1235 b,TOI-1235,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,3.444714,9e-05,-9e-05,0.0,0.03845,0.00037,-0.0004,0.0,1.69,0.08,-0.08,0.0,0.15077196,0.00713713,-0.00713713,0.0,6.69,0.67,-0.69,0.0,0.02104909,0.00210806,-0.00217098,0.0,Mass,0.049,0.072,-0.035,0.0,60.3,1.6,-1.5,0.0,775.0,13.0,-13.0,0.0,0,M0.5 V,3997.0,51.0,-51.0,0.0,0.619,0.019,-0.019,0.0,0.63,0.024,-0.024,0.0,0.33,0.16,-0.16,0.0,[Fe/H],4.64,0.04,-0.04,0.0,10h08m52.38s,152.2182549,+69d16m35.83s,69.2766204,39.6345,0.0478,-0.0478,11.495,0.056,-0.056,7.893,0.023,-0.023,10.8492,0.000519,-0.000519
TOI-125 b,TOI-125,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,4.65382,0.00033,-0.00031,0.0,0.05186,0.00086,-0.00077,0.0,2.726,0.075,-0.075,0.0,0.24319743,0.00669105,-0.00669105,0.0,9.5,0.88,-0.88,0.0,0.02989019,0.00276878,-0.00276878,0.0,Mass,0.194,0.041,-0.036,0.0,185.0,9.0,-9.0,0.0,1037.0,11.0,-11.0,0.0,0,K0 V,5320.0,39.0,-39.0,0.0,0.848,0.011,-0.011,0.0,0.859,0.044,-0.038,0.0,-0.02,0.03,-0.03,0.0,[Fe/H],4.516,0.024,-0.024,0.0,01h34m22.42s,23.5934253,-66d40m34.86s,-66.6763495,111.059,0.444,-0.44,11.023,0.008,-0.008,8.995,0.021,-0.021,10.718,0.000411,-0.000411
TOI-125 c,TOI-125,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,9.15059,0.0007,-0.00082,0.0,0.0814,0.0013,-0.0013,0.0,2.759,0.1,-0.1,0.0,0.24614149,0.0089214,-0.0089214,0.0,6.63,0.99,-0.99,0.0,0.02086021,0.00311487,-0.00311487,0.0,Mass,0.066,0.07,-0.047,0.0,77.59,3.31,-3.31,0.0,827.8,8.6,-8.6,0.0,0,K0 V,5320.0,39.0,-39.0,0.0,0.848,0.011,-0.011,0.0,0.859,0.044,-0.038,0.0,-0.02,0.03,-0.03,0.0,[Fe/H],4.516,0.024,-0.024,0.0,01h34m22.42s,23.5934253,-66d40m34.86s,-66.6763495,111.059,0.444,-0.44,11.023,0.008,-0.008,8.995,0.021,-0.021,10.718,0.000411,-0.000411
TOI-125 d,TOI-125,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,19.98,0.005,-0.0056,0.0,0.137,0.0022,-0.0022,0.0,2.93,0.17,-0.17,0.0,0.26139709,0.01516638,-0.01516638,0.0,13.6,1.2,-1.2,0.0,0.04279017,0.0037756,-0.0037756,0.0,Mass,0.168,0.088,-0.062,0.0,26.7,1.4,-1.4,0.0,638.1,6.6,-6.6,0.0,0,K0 V,5320.0,39.0,-39.0,0.0,0.848,0.011,-0.011,0.0,0.859,0.044,-0.038,0.0,-0.02,0.03,-0.03,0.0,[Fe/H],4.516,0.024,-0.024,0.0,01h34m22.42s,23.5934253,-66d40m34.86s,-66.6763495,111.059,0.444,-0.44,11.023,0.008,-0.008,8.995,0.021,-0.021,10.718,0.000411,-0.000411
TOI-1266 b,TOI-1266,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,10.8945,0.00023,-0.00026,0.0,0.073,0.0011,-0.0011,0.0,2.52,0.08,-0.08,0.0,0.22481973,0.00713713,-0.00713713,0.0,4.46,0.69,-0.69,0.0,0.01403273,0.00217098,-0.00217098,0.0,Mass,0.039,0.035,-0.025,0.0,4.72,1.0,-0.66,0.0,415.0,7.0,-7.0,0.0,1,M2,3563.0,77.0,-77.0,0.0,0.4232,0.0077,-0.0079,0.0,0.437,0.021,-0.021,0.0,-0.109,0.092,-0.092,0.0,[Fe/H],4.826,0.02,-0.021,0.0,13h11m59.18s,197.9965833,+65d50m01.31s,65.8336973,36.0118,0.0295,-0.0295,12.941,0.049,-0.049,8.84,0.02,-0.02,12.1222,0.000249,-0.000249
TOI-1295 b,TOI-1295,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,3.1968838,5e-07,-5e-07,0.0,0.047,0.002,-0.002,0.0,15.69257298,0.89671846,-0.89671846,0.0,1.4,0.08,-0.08,0.0,451.3163379,25.42627256,-25.42627256,0.0,1.42,0.08,-0.08,0.0,Mass,0.024,0.02,-0.02,0.0,1800.0,130.0,-130.0,0.0,2360.0,50.0,-50.0,0.0,0,F,6280.0,50.0,-50.0,0.0,1.7,0.03,-0.03,0.0,1.38,0.08,-0.08,0.0,0.26,0.06,-0.06,0.0,[Fe/H],4.1,0.08,-0.08,0.0,17h06m41.33s,256.6722026,+67d52m17.41s,67.8715032,388.227,4.497,-4.398,11.303,0.011,-0.011,10.08,0.016,-0.016,11.1307,0.000491,-0.000491
TOI-1431 b,TOI-1431,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,2.650237,3e-06,-3e-06,0.0,0.046,0.002,-0.002,0.0,16.70138124,0.56044903,-0.56044903,0.0,1.49,0.05,-0.05,0.0,991.6246298,57.20911326,-57.20911326,0.0,3.12,0.18,-0.18,0.0,Mass,0.0022,0.003,-0.0016,0.0,5300.0,500.0,-470.0,0.0,2370.0,70.0,-70.0,0.0,0,Am C,7690.0,400.0,-250.0,0.0,1.92,0.07,-0.07,0.0,1.9,0.1,-0.08,0.0,0.09,0.03,-0.03,0.0,[Fe/H],4.15,0.04,-0.04,0.0,21h04m48.89s,316.2036922,+55d35m16.88s,55.5880221,148.925,1.034,-1.02,8.03,0.03,-0.03,7.439,0.029,-0.029,7.97561,0.000252,-0.000252
TOI-1468 b,TOI-1468,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,1.8805201,2.5e-06,-3e-06,0.0,0.02107,0.00016,-0.00016,0.0,1.401,0.059,-0.06,0.0,0.12498906,0.00526364,-0.00535285,0.0,3.04,0.46,-0.46,0.0,0.00956491,0.00144732,-0.00144732,0.0,Mass,0.0099,0.018,-0.005,0.0,36.4,1.3,-1.3,0.0,683.5,6.3,-6.2,0.0,0,M3.0 V,3376.0,45.0,-44.0,0.0,0.3714,0.01,-0.01,0.0,0.3527,0.0081,-0.0079,0.0,-0.01,0.21,-0.22,0.0,[Fe/H],4.846,0.025,-0.025,0.0,01h06m36.93s,16.6538724,+19d13m29.71s,19.2249195,24.7399,0.0469,-0.0467,12.5,0.2,-0.2,8.497,0.017,-0.017,12.1172,0.000697,-0.000697
TOI-1468 c,TOI-1468,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,15.532477,2.5e-05,-2.6e-05,0.0,0.08608,0.00065,-0.00065,0.0,2.126,0.092,-0.093,0.0,0.18966934,0.0082077,-0.00829692,0.0,4.1,1.1,-1.1,0.0,0.01290004,0.00346099,-0.00346099,0.0,Mass,0.111,0.15,-0.084,0.0,2.13,0.1,-0.12,0.0,338.1,3.1,-3.1,0.0,0,M3.0 V,3376.0,45.0,-44.0,0.0,0.3714,0.01,-0.01,0.0,0.3527,0.0081,-0.0079,0.0,-0.01,0.21,-0.22,0.0,[Fe/H],4.846,0.025,-0.025,0.0,01h06m36.93s,16.6538724,+19d13m29.71s,19.2249195,24.7399,0.0469,-0.0467,12.5,0.2,-0.2,8.497,0.017,-0.017,12.1172,0.000697,-0.000697
TOI-1728 b,TOI-1728,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,3.49151,6.2e-05,-5.7e-05,0.0,0.0391,0.0009,-0.0009,0.0,5.05,0.16,-0.17,0.0,0.45053082,0.01427424,-0.01516638,0.0,26.78,5.43,-5.13,0.0,0.08425888,0.0170846,-0.0161407,0.0,Mass,0.057,0.054,-0.039,0.0,57.78,3.48,-3.48,0.0,767.0,8.0,-8.0,0.0,0,M0,3980.0,31.0,-32.0,0.0,0.6243,0.01,-0.0097,0.0,0.646,0.023,-0.022,0.0,0.25,0.1,-0.1,0.0,[Fe/H],4.657,0.017,-0.017,0.0,08h02m26.80s,120.6116787,+64d47m49.75s,64.7971531,60.798,0.13635,-0.13635,12.39,0.055,-0.055,8.803001,0.02,-0.02,11.7294,0.000478,-0.000478
TOI-181 b,TOI-181,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,4.532,2e-06,-2e-06,0.0,0.0539,0.0043,-0.0036,0.0,6.9559,0.087,-0.101,0.0,0.6339,0.0079,-0.0092,0.0,46.1687,2.71,-7.83,0.0,0.1452,0.0085,-0.024,0.0,Mass,0.1543,0.06,-0.03,0.0,102.43,15.52,-14.64,0.0,895.1,32.14,-33.86,0.0,0,K,4994.0,50.0,-50.0,0.0,0.745,0.024,-0.024,0.0,0.822,0.04,-0.04,0.0,0.272,0.08,-0.08,0.0,[M/H],4.608,0.035,-0.035,0.0,23h28m41.41s,352.1725409,-34d29m29.08s,-34.4914099,96.2338,0.5781,-0.5714,11.191,0.019,-0.019,9.047,0.021,-0.021,11.0857,0.000737,-0.000737
TOI-1899 b,TOI-1899,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,29.090312,3.6e-05,-3.5e-05,0.0,0.1525,0.0065,-0.006,0.0,11.09689089,0.33626942,-0.33626942,0.0,0.99,0.03,-0.03,0.0,212.9450327,12.71313628,-12.71313628,0.0,0.67,0.04,-0.04,0.0,Mass,0.044,0.029,-0.027,0.0,3.4,0.3,-0.2,0.0,378.0,8.0,-7.0,0.0,0,M0,3926.0,45.0,-47.0,0.0,0.607,0.017,-0.016,0.0,0.632,0.026,-0.025,0.0,0.28,0.11,-0.11,0.0,[Fe/H],4.672,0.021,-0.02,0.0,19h57m42.44s,299.4268472,+40d08m36.05s,40.1433462,128.438,0.25,-0.25,14.88,0.2,-0.2,10.509,0.018,-0.018,13.5553,0.000422,-0.000422
TOI-2010 b,TOI-2010,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,141.834025,6.5e-05,-6.6e-05,0.0,0.5516,0.0078,-0.0093,0.0,11.81426566,0.30264248,-0.30264248,0.0,1.054,0.027,-0.027,0.0,408.7273314,17.48056238,-18.1162192,0.0,1.286,0.055,-0.057,0.0,Mass,0.212,0.022,-0.021,0.0,4.09,0.22,-0.21,0.0,400.2,5.6,-5.7,0.0,0,F0,5929.0,74.0,-74.0,0.0,1.079,0.027,-0.026,0.0,1.112,0.048,-0.055,0.0,0.168,0.055,-0.055,0.0,[Fe/H],4.417,0.021,-0.025,0.0,19h28m40.07s,292.1669417,+53d29m14.53s,53.4873694,109.19,0.322,-0.32,9.849,0.004,-0.004,8.281,0.016,-0.016,9.69568,0.00032,-0.00032
TOI-2015 b,TOI-2015,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,3.348237,3.5e-05,-3e-05,0.0,0.029322,3e-06,-3e-06,0.0,3.309,0.013,-0.011,0.0,0.29520972,0.00115978,-0.00098136,0.0,9.2,0.32,-0.35,0.0,0.02894644,0.00100683,-0.00110122,0.0,Mass,0.0789,0.0018,-0.0016,0.0,13.185,0.387,-0.387,0.0,530.9,2.9,-3.9,0.0,1,M4 +/- 0.5,3297.0,14.0,-28.0,0.0,0.3273,0.0029,-0.0051,0.0,0.3041,0.0353,-0.0312,0.0,-0.31,0.16,-0.16,0.0,[Fe/H],5.04,0.04,-0.04,0.0,15h28m31.84s,232.1326528,+27d21m39.86s,27.361073,47.3444,0.1133,-0.1126,16.11,0.2,-0.2,10.263,0.019,-0.019,14.176,0.000602,-0.000602
TOI-2134 b,TOI-2134,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,9.2292005,6.3e-06,-6.3e-06,0.0,0.078,0.0009,-0.0009,0.0,2.69,0.16,-0.16,0.0,0.23998614,0.01427427,-0.01427427,0.0,9.13,0.78,-0.76,0.0,0.02872619,0.00245415,-0.00239123,0.0,Mass,0.06,0.03,-0.04,0.0,32.0,2.0,-2.0,0.0,666.0,8.0,-8.0,0.0,0,K5 V,4580.0,50.0,-50.0,0.0,0.709,0.017,-0.017,0.0,0.744,0.027,-0.027,0.0,0.12,0.02,-0.02,0.0,[Fe/H],4.8,0.3,-0.3,0.0,18h07m44.52s,271.9355015,+39d04m22.54s,39.0729269,22.6202,0.016,-0.0159,8.933,0.003,-0.003,6.091,0.017,-0.017,8.5077,0.000511,-0.000511
TOI-2134 c,TOI-2134,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,95.5,0.36,-0.25,0.0,0.371,0.004,-0.004,0.0,7.27,0.42,-0.42,0.0,0.64858707,0.03746995,-0.03746995,0.0,41.89,7.69,-7.83,0.0,0.13180068,0.02419545,-0.02463594,0.0,Mass,0.67,0.05,-0.06,0.0,1.4,0.1,-0.1,0.0,306.0,4.0,-4.0,0.0,0,K5 V,4580.0,50.0,-50.0,0.0,0.709,0.017,-0.017,0.0,0.744,0.027,-0.027,0.0,0.12,0.02,-0.02,0.0,[Fe/H],4.8,0.3,-0.3,0.0,18h07m44.52s,271.9355015,+39d04m22.54s,39.0729269,22.6202,0.016,-0.0159,8.933,0.003,-0.003,6.091,0.017,-0.017,8.5077,0.000511,-0.000511
