pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
K2-32 c,K2-32,2,4,Transit,2016,K2,0,20.66093,0.0008,-0.00079,0.0,0.13843,0.00115,-0.00108,0.0,3.134,0.123,-0.102,0.0,0.27959723,0.01097334,-0.00909985,0.0,8.1,2.4,-2.4,0.0,0.02548545,0.00755124,-0.00755124,0.0,Mass,0.049,0.046,-0.035,0.0,25.6,3.6,-2.7,0.0,634.0,9.0,-11.0,0.0,0,G9 V,5271.0,39.0,-35.0,0.0,0.86,0.02,-0.02,0.0,0.83,0.02,-0.02,0.0,-0.06,0.03,-0.03,0.0,[Fe/H],4.49,0.03,-0.03,0.0,16h49m42.24s,252.426008,-19d32m34.98s,-19.5430504,157.682,1.309,-1.288,12.304,0.092,-0.092,9.821,0.019,-0.019,12.0036,0.000259,-0.000259
K2-32 d,K2-32,2,4,Transit,2016,K2,0,31.71701,0.00101,-0.00096,0.0,0.18422,0.00152,-0.00144,0.0,3.484,0.112,-0.129,0.0,0.3108222,0.00999199,-0.01150863,0.0,6.7,2.5,-2.5,0.0,0.02108056,0.00786588,-0.00786588,0.0,Mass,0.05,0.053,-0.035,0.0,14.5,2.0,-1.5,0.0,550.0,8.0,-9.0,0.0,0,G9 V,5271.0,39.0,-35.0,0.0,0.86,0.02,-0.02,0.0,0.83,0.02,-0.02,0.0,-0.06,0.03,-0.03,0.0,[Fe/H],4.49,0.03,-0.03,0.0,16h49m42.24s,252.426008,-19d32m34.98s,-19.5430504,157.682,1.309,-1.288,12.304,0.092,-0.092,9.821,0.019,-0.019,12.0036,0.000259,-0.000259
KELT-24 b,KELT-24,2,1,Transit,2019,KELT-North,0,5.55149296,5e-07,-5.3e-07,0.0,0.0665,0.0011,-0.0011,0.0,12.71098411,0.30264248,-0.2914335,0.0,1.134,0.027,-0.026,0.0,1458.832388,57.20911326,-57.20911326,0.0,4.59,0.18,-0.18,0.0,Mass,0.0319,0.0079,-0.0074,0.0,624.0,40.0,-40.0,0.0,1391.0,22.0,-23.0,0.0,0,F7,6426.0,93.0,-91.0,0.0,1.338,0.032,-0.03,0.0,1.268,0.063,-0.063,0.0,0.138,0.086,-0.082,0.0,[Fe/H],4.287,0.014,-0.014,0.0,10h47m38.17s,161.9090273,+71d39m20.62s,71.655727,96.5173,0.3132,-0.3113,8.34,0.03,-0.03,7.154,0.021,-0.021,8.23752,0.000357,-0.000357
KOI-1257 b,KOI-1257,2,1,Transit,2014,Kepler,0,86.647661,3.4e-05,-3.4e-05,0.0,0.382,0.006,-0.006,0.0,10.54,1.35,-1.35,0.0,0.94,0.12,-0.12,0.0,460.83,111.24,-111.24,0.0,1.45,0.35,-0.35,0.0,Mass,0.772,0.045,-0.045,0.0,7.28,2.73,-2.22,0.0,511.0,50.0,-50.0,0.0,0,G5 V,5520.0,80.0,-80.0,0.0,1.13,0.14,-0.14,0.0,0.99,0.05,-0.05,0.0,0.27,0.09,-0.09,0.0,[Fe/H],4.32,0.1,-0.1,0.0,19h24m54.02s,291.2250888,+44d55m38.25s,44.9272918,656.0,55.665,-39.926,14.818,0.069,-0.069,12.726,0.023,-0.023,14.6419,0.00049,-0.00049
KOI-134 b,KOI-134,1,2,Transit,2025,Kepler,0,67.1277,0.0045,-0.0057,0.0,0.363,0.011,-0.013,0.0,12.03844527,0.19055267,-0.19055267,0.0,1.074,0.017,-0.017,0.0,346.4329636,38.13940884,-25.42627256,0.0,1.09,0.12,-0.08,0.0,Mass,0.16,0.02,-0.03,0.0,45.0,11.0,-10.0,0.0,659.0,35.0,-46.0,0.0,1,F9V,6160.0,130.0,-130.0,0.0,1.667,0.024,-0.024,0.0,1.407,0.043,-0.043,0.0,0.427,0.069,-0.069,0.0,[Fe/H],4.11,0.13,-0.13,0.0,19h42m20.78s,295.586598,+45d21m53.77s,45.3649371,1159.21,16.72,-16.72,13.773,0.137,-0.137,12.322,0.018,-0.018,13.6323,0.000189,-0.000189
Kepler-101 b,Kepler-101,1,2,Transit,2014,Kepler,0,3.4876812,7e-06,-7e-06,0.0,0.0474,0.001,-0.0008,0.0,5.77,0.85,-0.79,0.0,0.51,0.08,-0.07,0.0,51.1,5.1,-4.7,0.0,0.16,0.02,-0.01,0.0,Mass,0.086,0.08,-0.059,0.0,1240.332,46.318,-44.577,0.0,1513.0,103.0,-145.0,0.0,0,G3 IV,5667.0,50.0,-50.0,0.0,1.56,0.2,-0.2,0.0,1.17,0.07,-0.05,0.0,0.33,0.07,-0.07,0.0,[Fe/H],4.12,0.11,-0.09,0.0,18h53m01.32s,283.255507,+48d21m18.89s,48.3552474,927.981,14.7985,-14.7985,13.7,0.069,-0.069,12.011,0.02,-0.02,13.5672,0.000214,-0.000214
Kepler-117 b,Kepler-117,1,2,Transit,2014,Kepler,0,18.7959228,7.5e-06,-7.5e-06,0.0,0.1445,0.0047,-0.0014,0.0,8.059,0.269,-0.269,0.0,0.719,0.024,-0.024,0.0,29.875,10.488,-10.488,0.0,0.094,0.033,-0.033,0.0,Mass,0.0493,0.0062,-0.0062,0.0,157.541,9.731,-9.059,0.0,984.0,18.0,-18.0,0.0,1,F8 V,6150.0,110.0,-110.0,0.0,1.606,0.049,-0.049,0.0,1.129,0.13,-0.023,0.0,-0.04,0.1,-0.1,0.0,[Fe/H],4.102,0.019,-0.019,0.0,19h15m10.34s,288.7930651,+48d02m24.63s,48.040176,1455.57,38.385,-38.385,14.282,0.126,-0.126,13.011,0.031,-0.031,14.2472,0.000272,-0.000272
Kepler-117 c,Kepler-117,1,2,Transit,2014,Kepler,0,50.790391,1.4e-05,-1.4e-05,0.0,0.2804,0.0092,-0.0028,0.0,12.341,0.392,-0.392,0.0,1.101,0.035,-0.035,0.0,584.78,57.21,-57.21,0.0,1.84,0.18,-0.18,0.0,Mass,0.0323,0.0033,-0.0033,0.0,41.863,2.586,-2.407,0.0,704.0,15.0,-15.0,0.0,1,F8 V,6150.0,110.0,-110.0,0.0,1.606,0.049,-0.049,0.0,1.129,0.13,-0.023,0.0,-0.04,0.1,-0.1,0.0,[Fe/H],4.102,0.019,-0.019,0.0,19h15m10.34s,288.7930651,+48d02m24.63s,48.040176,1455.57,38.385,-38.385,14.282,0.126,-0.126,13.011,0.031,-0.031,14.2472,0.000272,-0.000272
Kepler-138 b,Kepler-138,1,4,Transit,2014,Kepler,0,10.3134,0.0003,-0.0003,0.0,0.0753,0.0006,-0.0006,0.0,0.64,0.02,-0.02,0.0,0.05709707,0.00178428,-0.00178428,0.0,0.07,0.02,-0.02,0.0,0.00022024,6.293e-05,-6.293e-05,0.0,Mass,0.02,0.009,-0.009,0.0,9.9,0.7,-0.7,0.0,452.0,8.0,-9.0,0.0,1,M1 V,3841.0,50.0,-51.0,0.0,0.535,0.013,-0.014,0.0,0.535,0.012,-0.012,0.0,-0.18,0.1,-0.1,0.0,[Fe/H],4.71,0.03,-0.03,0.0,19h21m31.54s,290.3814122,+43d17m35.03s,43.2930645,66.8624,0.107,-0.107,13.04,0.092,-0.092,9.506,0.011,-0.011,12.4715,0.000239,-0.000239
Kepler-138 c,Kepler-138,1,4,Transit,2014,Kepler,0,13.7815,7e-05,-9e-05,0.0,0.0913,0.0007,-0.0007,0.0,1.51,0.04,-0.04,0.0,0.13471341,0.00356857,-0.00356857,0.0,2.3,0.6,-0.5,0.0,0.00723661,0.00188781,-0.00157318,0.0,Mass,0.017,0.008,-0.007,0.0,6.8,0.5,-0.5,0.0,410.0,8.0,-8.0,0.0,1,M1 V,3841.0,50.0,-51.0,0.0,0.535,0.013,-0.014,0.0,0.535,0.012,-0.012,0.0,-0.18,0.1,-0.1,0.0,[Fe/H],4.71,0.03,-0.03,0.0,19h21m31.54s,290.3814122,+43d17m35.03s,43.2930645,66.8624,0.107,-0.107,13.04,0.092,-0.092,9.506,0.011,-0.011,12.4715,0.000239,-0.000239
Kepler-138 d,Kepler-138,1,4,Transit,2014,Kepler,0,23.0923,0.0006,-0.0006,0.0,0.1288,0.001,-0.001,0.0,1.51,0.04,-0.04,0.0,0.13471341,0.00356857,-0.00356857,0.0,2.1,0.6,-0.7,0.0,0.00660734,0.00188781,-0.00220245,0.0,Mass,0.01,0.005,-0.005,0.0,3.4,0.2,-0.2,0.0,345.0,7.0,-7.0,0.0,1,M1 V,3841.0,50.0,-51.0,0.0,0.535,0.013,-0.014,0.0,0.535,0.012,-0.012,0.0,-0.18,0.1,-0.1,0.0,[Fe/H],4.71,0.03,-0.03,0.0,19h21m31.54s,290.3814122,+43d17m35.03s,43.2930645,66.8624,0.107,-0.107,13.04,0.092,-0.092,9.506,0.011,-0.011,12.4715,0.000239,-0.000239
Kepler-39 b,Kepler-39,1,1,Transit,2011,Kepler,0,21.08721,3.7e-05,-3.7e-05,0.0,0.164,0.003,-0.003,0.0,13.9,1.01,-1.12,0.0,1.24,0.09,-0.1,0.0,6388.1,413.2,-381.4,0.0,20.1,1.3,-1.3,0.0,Mass,0.112,0.057,-0.057,0.0,90.22,4.095,-3.894,0.0,897.0,29.0,-29.0,0.0,1,F7 V,6350.0,100.0,-100.0,0.0,1.4,0.1,-0.1,0.0,1.29,0.06,-0.07,0.0,0.1,0.14,-0.14,0.0,[Fe/H],4.4,0.15,-0.15,0.0,19h47m50.48s,296.9603348,+46d02m03.46s,46.0342954,1057.41,18.44,-18.44,14.355,0.172,-0.172,12.918,0.028,-0.028,14.2622,0.000275,-0.000275
Kepler-411 b,Kepler-411,2,4,Transit,2013,Kepler,0,3.005156,2e-06,-2e-06,0.0,0.0375,0.0008,-0.0008,0.0,2.401,0.053,-0.053,0.0,0.21420287,0.00472834,-0.00472834,0.0,25.6,2.6,-2.6,0.0,0.0805462,0.00818047,-0.00818047,0.0,Mass,0.146,0.005,-0.004,0.0,201.3,14.6,-14.6,0.0,1138.0,17.0,-17.0,0.0,1,K2 V,4974.0,46.0,-51.0,0.0,0.82,0.018,-0.018,0.0,0.87,0.039,-0.039,0.0,0.21,0.04,-0.04,0.0,[Fe/H],4.6,0.008,-0.013,0.0,19h10m25.37s,287.6057027,+49d31m24.22s,49.5233937,153.676,0.455,-0.453,12.448,0.069,-0.069,10.062,0.023,-0.023,12.2327,0.000562,-0.000562
Kepler-411 c,Kepler-411,2,4,Transit,2016,Kepler,0,7.834435,2e-06,-2e-06,0.0,0.0739,0.001,-0.001,0.0,4.421,0.062,-0.062,0.0,0.3944152,0.00553127,-0.00553127,0.0,26.4,5.9,-5.9,0.0,0.08306327,0.01856338,-0.01856338,0.0,Mass,0.108,0.003,-0.004,0.0,56.0,4.0,-4.0,0.0,838.0,10.0,-10.0,0.0,1,K2 V,4974.0,46.0,-51.0,0.0,0.82,0.018,-0.018,0.0,0.87,0.039,-0.039,0.0,0.21,0.04,-0.04,0.0,[Fe/H],4.6,0.008,-0.013,0.0,19h10m25.37s,287.6057027,+49d31m24.22s,49.5233937,153.676,0.455,-0.453,12.448,0.069,-0.069,10.062,0.023,-0.023,12.2327,0.000562,-0.000562
Kepler-411 d,Kepler-411,2,4,Transit,2018,Kepler,0,58.02035,0.00056,-0.00056,0.0,0.279,0.004,-0.004,0.0,3.319,0.104,-0.104,0.0,0.29610135,0.00927826,-0.00927826,0.0,15.2,5.1,-5.1,0.0,0.04782431,0.01604631,-0.01604631,0.0,Mass,0.128,0.003,-0.003,0.0,3.9,0.3,-0.3,0.0,410.0,10.0,-10.0,0.0,1,K2 V,4974.0,46.0,-51.0,0.0,0.82,0.018,-0.018,0.0,0.87,0.039,-0.039,0.0,0.21,0.04,-0.04,0.0,[Fe/H],4.6,0.008,-0.013,0.0,19h10m25.37s,287.6057027,+49d31m24.22s,49.5233937,153.676,0.455,-0.453,12.448,0.069,-0.069,10.062,0.023,-0.023,12.2327,0.000562,-0.000562
Kepler-412 b,Kepler-412,1,1,Transit,2014,Kepler,0,1.7208604,3e-07,-3e-07,0.0,0.02897,0.00093,-0.00092,0.0,15.031269,0.493196,-0.515614,0.0,1.341,0.044,-0.046,0.0,299.07803,39.72875,-6.03877,0.0,0.941,0.125,-0.019,0.0,Mass,0.0038,0.0087,-0.0032,0.0,2144.307,98.659,-94.03,0.0,1850.0,30.0,-30.0,0.0,1,G3 V,5750.0,90.0,-90.0,0.0,1.287,0.035,-0.035,0.0,1.167,0.091,-0.091,0.0,0.27,0.12,-0.12,0.0,[Fe/H],4.3,0.07,-0.07,0.0,19h04m26.47s,286.1103053,+43d40m51.46s,43.6809612,1086.24,19.16,-19.16,14.399,0.092,-0.092,12.837,0.031,-0.031,14.2486,0.000274,-0.000274
Kepler-423 b,Kepler-423,1,1,Transit,2014,Kepler,0,2.6843285,7e-08,-7e-08,0.0,0.03585,0.00052,-0.00114,0.0,13.361,0.583,-0.583,0.0,1.192,0.052,-0.052,0.0,189.101,25.743,-25.743,0.0,0.595,0.081,-0.081,0.0,Mass,0.019,0.028,-0.014,0.0,649.148,29.111,-27.823,0.0,1605.0,120.0,-120.0,0.0,0,G4 V,5560.0,80.0,-80.0,0.0,0.95,0.04,-0.04,0.0,0.85,0.04,-0.04,0.0,-0.1,0.05,-0.05,0.0,[M/H],4.41,0.04,-0.04,0.0,19h31m25.37s,292.8557189,+46d23m28.28s,46.3911883,758.753,12.76,-12.76,14.462,0.126,-0.126,12.779,0.031,-0.031,14.28,0.000295,-0.000295
Kepler-43 b,Kepler-43,1,1,Transit,2011,Kepler,0,3.0240949,6e-07,-6e-07,0.0,0.046,0.0026,-0.0025,0.0,13.663771,0.728585,-0.717376,0.0,1.219,0.065,-0.064,0.0,1026.5909,82.6358,-82.6358,0.0,3.23,0.26,-0.26,0.0,Mass,0.017,0.027,-0.009,0.0,1138.115,46.311,-44.15,0.0,1620.0,40.0,-40.0,0.0,0,F8 V,6041.0,143.0,-143.0,0.0,1.42,0.07,-0.07,0.0,1.32,0.09,-0.09,0.0,0.33,0.11,-0.11,0.0,[Fe/H],4.26,0.05,-0.05,0.0,19h00m57.80s,285.2408288,+46d40m05.67s,46.6682411,1005.84,14.19,-14.19,13.986,0.149,-0.149,12.549,0.031,-0.031,13.8894,0.000273,-0.000273
Kepler-75 b,Kepler-75,1,1,Transit,2013,Kepler,0,8.8849116,3.4e-06,-3.4e-06,0.0,0.0818,0.0012,-0.0012,0.0,11.77,0.34,-0.34,0.0,1.05,0.03,-0.03,0.0,3209.9,127.1,-127.1,0.0,10.1,0.4,-0.4,0.0,Mass,0.57,0.01,-0.01,0.0,106.484,5.684,-5.335,0.0,767.0,16.0,-16.0,0.0,0,K0 V,5200.0,100.0,-100.0,0.0,0.89,0.02,-0.02,0.0,0.91,0.04,-0.04,0.0,0.3,0.12,-0.12,0.0,[Fe/H],4.5,0.02,-0.02,0.0,19h24m33.03s,291.1376203,+36d34m38.44s,36.5773443,835.356,18.761,-17.968,15.414,0.046,-0.046,13.118,0.029,-0.029,15.1789,0.000726,-0.000726
Kepler-91 b,Kepler-91,1,1,Transit,2013,Kepler,0,6.24658,8e-05,-8e-05,0.0,0.0731,0.0034,-0.0031,0.0,15.322703,0.773421,-0.67254,0.0,1.367,0.069,-0.06,0.0,257.4423,57.2094,-54.0311,0.0,0.81,0.18,-0.17,0.0,Mass,0.0519,0.0095,-0.0088,0.0,3273.324,222.239,-204.957,0.0,2040.0,50.0,-50.0,0.0,0,K3,4550.0,75.0,-75.0,0.0,6.3,0.16,-0.16,0.0,1.31,0.1,-0.1,0.0,0.11,0.07,-0.07,0.0,[Fe/H],2.953,0.007,-0.007,0.0,19h02m41.50s,285.6729033,+44d07m00.30s,44.1167513,1294.69,40.735,-40.735,12.712,0.092,-0.092,10.136,0.021,-0.021,12.4762,0.000168,-0.000168
L 98-59 b,L 98-59,1,4,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,2.2531136,1.2e-06,-1.5e-06,0.0,0.02191,0.0008,-0.00084,0.0,0.85,0.061,-0.047,0.0,0.07583205,0.00544206,-0.00419307,0.0,0.4,0.16,-0.15,0.0,0.00125854,0.00050342,-0.00047195,0.0,Mass,0.103,0.117,-0.045,0.0,24.7,5.0,-4.1,0.0,627.0,33.0,-36.0,0.0,0,M3 V,3415.0,135.0,-135.0,0.0,0.303,0.026,-0.023,0.0,0.273,0.03,-0.03,0.0,-0.46,0.26,-0.26,0.0,[Fe/H],4.86,0.13,-0.13,0.0,08h18m07.89s,124.5328604,-68d18m52.08s,-68.3144658,10.6194,0.0032,-0.0032,11.685,0.017,-0.017,7.101,0.018,-0.018,10.5976,0.000765,-0.000765
